SampleID,ichorCNA
ZNL11NB,0.005714
ZNL12NB,0.02818
ZNL19,0.009717
ZNL35,0.01046
ZNL39NB,0.006641
ZNL44,0.02289
ZNL45NB,0.01649
ZYCAA53NB,0.005464
ZYCAA19NB,0.007559
ZYCAA24NB,0.01061
ZYCAA47NB,0.01119
ZYCAA08NB,0.3307
ZYCAA52NB,0.0631
ZYCAA63NB,0.06995
ZK0AAAL68NB,0.004494
ZK0AAAL53NB,0.008992
ZK0AAAH81NB,0.008912
ZK0AAAL58NB,0.01078
ZK0AAAH80NB,0.01333
ZK0AAAH79NB,0.01056
ZK0AAAH94NB,0.01077
ZK0AAAK21NB,0.006157
ZK0AAAK52NB,0.009414
ZK0AAAI73NB,0.003877
ZK0AAAI83NB,0.0
ZK0AAAI08NB,0.008276
ZK0AAAI61NB,0.006839
ZK0AAAC52NB,0.0133
ZK0CAAD72NB,0.008028
ZK0AAAJ01NB,0.01184
ZK0AAAL65NB,0.01009
ZK0AAAH54NB,0.0136
ZK0AAAK25NB,0.01401
ZK0AAAK23NB,0.008615
ZK0AAAH63NB,0.01282
ZK0AAAI11NB,0.005142
ZK0AAAI66NB,0.009334
ZK0AAAK56NB,0.0
ZK0AAAI16NB,0.005335
ZK0AAAI67NB,0.01005
ZK0DAAE49NB,0.08092
ZK0AAAK60NB,0.009626
ZK0AAAH51NB,0.00525
ZK0AAAI69NB,0.00943
ZK0AAAB67NB,0.01153
ZK0AAAK16NB,0.007588
ZK0AAAI63NB,0.01176
ZK0AAAK13NB,0.00606
ZK0AAAL62NB,0.009931
ZK0AAAH55NB,0.005235
ZK0AAAG29NB,0.01282
ZK0AAAK65NB,0.01038
ZK0AAAG28NB,0.01305
ZK0AAAI09NB,0.004813
ZK0AAAK80NB,0.004411
ZK0AAAH40NB,0.0105
ZK0AAAI72NB,0.004954
ZK0AAAK04NB,0.007198
ZK0AAAI10NB,0.01145
ZK0AAAF67NB,0.0118
ZK0AAAI41NB,0.007689
ZK0AAAK28NB,0.007967
ZK0AAAL59NB,0.009603
