SampleID,ichorCNA
ZMG126C,0.007141
ZMG126D,0.0
ZMG128C,0.01419
ZMG128D,0.01286
ZMG131C,0.008918
ZMG131D,0.01193
ZMG131E,0.01066
ZMG138B,0.01249
ZMG138C,0.005935
ZMG138D,0.008568
ZMG114C,0.01013
ZMG114D,0.009784
ZMG134C,0.005901
ZMG134D,0.008784
ZMG164B,0.009133
ZMG164C,0.008265
UCAA35,0.008461
MLAA65,0.006279
UCAA28,0.01078
MLAA94,0.0
UCAA18,0.01387
ZMH003C,0.005602
ZMH021C,0.007356
ZMH006C,0.007983
ZMH013C,0.006054
ZMH014C,0.01396
ZMH015C,0.007947
ZMH017C,0.01043
ZMH019C,0.009145
ZMH027C,0.009669
ZMH030C,0.006143
ZMH031C,0.01505
ZMH034C,0.01156
ZMH037C,0.007056
ZMH038C,0.0126
ZMH039C,0.01065
ZMH040C,0.006338
ZMH043C,0.008649
ZMH045C,0.01193
ZMH046C,0.005122
ZMH048C,0.0156
ZMH049C,0.009957
ZMH052C,0.01183
ZMH057C,0.01378
ZMH059C,0.01173
ZMH061C,0.004783
UCAA80,0.01095
UCAA98,0.0
UCAB23,0.0104
QCAB38,0.008144
MUGAAA69,0.01049
QHAB58,0.01031
MUGAAA96,0.01316
MUGAAA08,0.006881
MUGAAB02,0.0
UCAA60,0.01698
UCAA32,0.005066
MUGAAA03,0.006021
HAAA43,0.006427
UHAA26,0.008231
UHAA45,0.01386
QCAA44,0.01459
MUGAAA28,0.006512
MUGAAB07,0.0117
MUGAAA66,0.01156
QHAB36,0.01
MUAAAA76,0.01489
MUAAAB07,0.01279
MUAAAA49,0.009691
MUGAAB15,0.008878
MUGAAA45,0.01624
UHAA20,0.0
MUAAAB19,0.008418
MUAAAA20,0.01074
MUGAAA15,0.01187
MUGAAA77,0.006037
MUGAAA75,0.005511
MUGAAA76,0.01509
MUGAAA90,0.008065
MUGAAB19,0.01046
MUGAAA91,0.009987
MUAAAA78,0.006234
MUGAAB50,0.00854
MUGAAA17,0.01754
MUAAAA88,0.01263
MUGAAB13,0.01259
MUGAAB21,0.006643
MUGAAB39,0.01833
MUAAAA58,0.00647
UCAA77,0.005853
MUGAAA22,0.006671
UHAA53,0.01077
UHAA48,0.006275
QHAA44,0.01334
UHAA21,0.01055
MUGAAA20,0.01107
MUGAAA72,0.008563
MUGAAB67,0.01143
ZMB001NB,0.01129
ZMB002NB,0.01209
ZMB003NB,0.01046
ZMB014NB,0.0116
ZMB009NB,0.05662
ZMB012NB,0.009587
