SampleID,RUN,Group_RUN
14-MUGAAA46,Research-mrdgw-all-batch6,06062024
10-HMGAAA06,Research-mrdgw-all-batch6,06062024
4-HAGAAA15,Research-mrdgw-all-batch6,06062024
7-ZMG067B,Research-mrdgw-all-batch6,06062024
10-HMAA02,Research-mrdgw-all-batch6,06062024
15-QHAB92,Research-mrdgw-all-batch6,06062024
5-MDGAAA07,Research-mrdgw-all-batch6,06062024
9-ZXG01,Research-mrdgw-all-batch6,06062024
4-ZMG001A,Research-mrdgw-all-batch6,06062024
13-ZMG102B,Research-mrdgw-all-batch6,06062024
3-QCAA74,Research-mrdgw-all-batch6,06062024
14-ZMG102C,Research-mrdgw-all-batch6,06062024
6-MDGAAA31,Research-mrdgw-all-batch5,06062024
7-QCAE60,Research-mrdgw-all-batch5,06062024
9-LABJ97,Research-mrdgw-all-batch5,06062024
15-KABF76,Research-mrdgw-all-batch5,06062024
3-MDGAAA18,Research-mrdgw-all-batch5,06062024
3-YCAB67,Research-mrdgw-all-batch5,06062024
5-QCAC36,Research-mrdgw-all-batch5,06062024
18-KABH35,Research-mrdgw-all-batch5,06062024
8-LABV93,Research-mrdgw-all-batch5,06062024
17-KABG66,Research-mrdgw-all-batch5,06062024
13-MUGAAA68,Research-mrdgw-all-batch5,06062024
10-HMAAAA04,Research-mrdgw-all-batch5,06062024
11-QCAA59,Research-mrdgw-all-batch5,06062024
16-ZTKL19A,Research-mrdgw-all-batch5,06062024
1-HMAAAA02,Research-mrdgw-all-batch5,06062024
1-QCAB27,Research-mrdgw-all-batch5,06062024
13-ZTKL17A,Research-mrdgw-all-batch5,06062024
6-MYCAAA01,Research-mrdgw-all-batch5,06062024
9-ZIL102A,Research-mrdgw-all-batch5,06062024
4-QCAE86,Research-mrdgw-all-batch5,06062024
5-QHAA88,Research-mrdgw-all-batch5,06062024
2-MQGAAA71,Research-mrdgw-all-batch5,06062024
15-ZTKL18A,Research-mrdgw-all-batch5,06062024
7-HMGAAA04,Research-mrdgw-all-batch5,06062024
2-MUGAAA56,Research-mrdgw-all-batch5,06062024
12-QHAA17,Research-mrdgw-all-batch5,06062024
12-MUGAAA12,Research-mrdgw-all-batch5,06062024
11-ZIL104A,Research-mrdgw-all-batch5,06062024
16-MUGAAA65,Research-mrdgw-all-batch5,06062024
13-KABF68,Research-mrdgw-all-batch5,06062024
14-KABF69,Research-mrdgw-all-batch5,06062024
10-QHAA63,Research-mrdgw-all-batch5,06062024
7-MQAAAA51,Research-mrdgw-all-batch5,06062024
8-QHAC16,Research-mrdgw-all-batch5,06062024
14-QCAF27,Research-mrdgw-all-batch5,06062024
9-MUGAAA21,Research-mrdgw-all-batch5,06062024
10-ZIL103A,Research-mrdgw-all-batch5,06062024
12-ZTKL06B,Research-mrdgw-all-batch5,06062024
10-HMAAAA28,Research-mrdgw-all-batch5,06062024
16-KABG60,Research-mrdgw-all-batch5,06062024
9-HMAAAA19,Research-mrdgw-all-batch5,06062024
8-HMAAAA09,Research-mrdgw-all-batch5,06062024
14-ZTKL07B,Research-mrdgw-all-batch5,06062024
8-MDAAAA16,Research-mrdgw-all-batch5,06062024
5-ZTKL06A,Research-mrdgw-all-batch5,06062024
4-QNAA01,Research-mrdgw-all-batch5,06062024
15-MUAAAA11,Research-mrdgw-all-batch5,06062024
11-UHAA30,Research-mrdgw-all-batch5,06062024
4-MUGAAA53,Research-mrdgw-all-batch5,06062024
6-ZTKL03A,Research-mrdgw-all-batch5,06062024
7-ZTKL04A,Research-mrdgw-all-batch5,06062024
10-ZNAB02C,Research-mrdgw-all-060624,06062024
9-ZNAB08B,Research-mrdgw-all-060624,06062024
6-ZNAB04A,Research-mrdgw-all-060624,06062024
5-YCAB67,Research-mrdgw-all-060624,06062024
8-ZNAB07B,Research-mrdgw-all-060624,06062024
2-QHAB51,Research-mrdgw-all-060624,06062024
1-HMAAAA05,Research-mrdgw-all-060624,06062024
3-UCAB01,Research-mrdgw-all-060624,06062024
7-ZNAB06B,Research-mrdgw-all-060624,06062024
4-HACAAA01,Research-mrdgw-all-060624,06062024
5-MQAAAA18,Research-mrdgw-all-29042024-4,06062024
