,baryl2
146,0.0038083249500819125
147,0.003614074362315628
148,0.003427454764758093
149,0.0032350319740508367
150,0.0030289148975856175
151,0.0028069126970945366
152,0.002580151495934604
153,0.0023698646072203224
154,0.0021828900626225415
155,0.0020239704759820263
156,0.0018891150097744573
157,0.0017752555644627117
158,0.0016743840230740745
159,0.0015807650137297789
160,0.0014837582994521846
161,0.0013826789132725065
162,0.0012778726982573077
163,0.0011735802478199972
164,0.0010765834460735432
165,0.0009930392459546525
166,0.0009197151186212707
167,0.0008587191149636384
168,0.0008053077638434829
169,0.0007575930399378808
170,0.0007129349638992218
171,0.0006662047783254432
172,0.0006181698652315867
173,0.0005710725977783864
174,0.0005259360769539576
175,0.00048463957962700994
176,0.0004472969640961463
177,0.0004175286269533348
178,0.00039298939225373356
179,0.00037187349817453124
180,0.00035217957880450074
181,0.00033150376320812243
182,0.00031112992990599893
183,0.00028982396796302834
184,0.00026864548321247413
185,0.00025014008041921473
186,0.00023424438413431202
187,0.00022094783649812623
188,0.00021041024849781603
189,0.00020224669605442008
190,0.000195505052461875
191,0.00018818316155353885
192,0.00018022941547325935
193,0.00017041929572398593
194,0.0001594807877033047
195,0.00014981626394523832
196,0.00014169900671274179
197,0.0001345222774734125
198,0.0001267819184806278
199,0.0001199624839668704
200,0.00011419457961759791
201,0.00010964699839347897
202,0.0001063501020523383
203,9.780413199899352e-05
204,8.993288384629805e-05
205,8.229606105432638e-05
206,7.515673754965909e-05
207,6.790192269268941e-05
208,6.064702162345711e-05
209,5.61046201764243e-05
210,5.1198101011439854e-05
211,4.7968347110878715e-05
212,4.472198787827385e-05
213,4.117085191342068e-05
214,3.822134811413039e-05
215,3.375572978671638e-05
216,2.874413471482415e-05
217,2.6340509464584328e-05
218,2.3022368905550314e-05
219,2.177277657405091e-05
220,2.0424922866937644e-05
221,2.0008907144268983e-05
222,1.802124077702136e-05
223,1.738221655083376e-05
224,1.3576768267351483e-05
225,1.2415104107058026e-05
226,1.0983644137063437e-05
227,9.917260607275665e-06
228,8.512121642543222e-06
229,6.5619299515151906e-06
230,6.236494678240206e-06
231,5.553061116889948e-06
232,5.428259049318815e-06
233,5.464932843954123e-06
234,5.0713126301656935e-06
235,4.945984978367567e-06
236,4.949686221317823e-06
237,5.23680434997835e-06
238,5.018422813895876e-06
239,4.1619200562961336e-06
240,4.174674019879897e-06
241,3.8533605287675256e-06
242,3.918863441635567e-06
243,3.9626539159943294e-06
244,3.754914879771134e-06
245,3.82382151552835e-06
246,3.990542737691237e-06
247,4.107379023890722e-06
248,3.2554074567371136e-06
249,3.5403358468796387e-06
250,3.6139682641481957e-06
251,2.4681259084358244e-06
252,1.7459116879471648e-06
253,1.7218166739770616e-06
254,1.6869765862092784e-06
255,1.6850229364278352e-06
256,1.748516554322165e-06
257,1.7719603516987113e-06
258,1.775542042964433e-06
259,1.7690298770265464e-06
260,1.7449348630564433e-06
261,1.7696810936203607e-06
262,1.78433346698067e-06
263,1.7520982455881443e-06
264,1.778798125933505e-06
265,1.590596530328608e-06
266,7.563880736853093e-07
267,4.874356204505155e-07
268,4.832027125909793e-07
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
