fpr,tpr,thresholds
0.20833333333333334,0.165,0.6619116474785584
0.2125,0.165,0.6616389579719355
0.2125,0.175,0.6606812424695359
0.22083333333333333,0.175,0.6600658643213849
0.22083333333333333,0.18,0.6594201992898562
0.22916666666666666,0.18,0.6591405268666191
0.22916666666666666,0.1825,0.6585090235790889
0.2375,0.1825,0.6565723519265401
0.2375,0.1925,0.6561713544768674
0.24166666666666667,0.1925,0.6560857914107656
0.24166666666666667,0.2,0.6556647705789513
0.25416666666666665,0.2,0.653954455498739
0.25416666666666665,0.21,0.6525381508458408
0.25833333333333336,0.21,0.6524945357379347
0.25833333333333336,0.22,0.6511021975131576
0.2625,0.22,0.6510634977746923
0.2625,0.2225,0.6505502814310192
0.2708333333333333,0.2225,0.6504050032962647
0.2708333333333333,0.225,0.6500996009608029
0.2791666666666667,0.225,0.6480419825666547
0.2791666666666667,0.2275,0.6478365274706092
0.2833333333333333,0.2275,0.6477532981106731
0.2833333333333333,0.23,0.6456906540922409
0.29583333333333334,0.23,0.6441812781735671
0.29583333333333334,0.235,0.6436149563142404
0.30416666666666664,0.235,0.6426284808841211
0.30416666666666664,0.24,0.6412871578751769
0.3125,0.24,0.6411943219362423
0.3125,0.245,0.6401070914842092
0.32083333333333336,0.245,0.6395270990856872
0.32083333333333336,0.2475,0.6374775914526809
0.32916666666666666,0.2475,0.6366116915958125
0.32916666666666666,0.25,0.6357162064596632
0.3375,0.25,0.6354535897961657
0.3375,0.2525,0.6354473870000822
0.3458333333333333,0.2525,0.6351169111041409
0.3458333333333333,0.255,0.6348916483374388
0.35,0.255,0.6342563784632423
0.35,0.26,0.6332666904865046
0.3541666666666667,0.26,0.6329136474113879
0.3541666666666667,0.2625,0.6325653516751812
0.3625,0.2625,0.6321809762339008
0.3625,0.275,0.631427183703013
0.36666666666666664,0.275,0.630816496771017
0.36666666666666664,0.2775,0.63062699860573
0.375,0.2775,0.630109094711578
0.375,0.28,0.629879824624884
0.38333333333333336,0.28,0.6295354999308567
0.38333333333333336,0.285,0.6293982619981399
0.3875,0.285,0.6293845869484007
0.3875,0.2875,0.6291326064419285
0.39166666666666666,0.2875,0.6284957020842286
0.39166666666666666,0.29,0.6279363145178071
0.3958333333333333,0.29,0.6279261625479658
0.3958333333333333,0.2925,0.627637063747431
0.4125,0.2925,0.626589547752596
0.4125,0.295,0.6265218420394515
0.425,0.295,0.6260755565015048
0.425,0.3,0.6259602774084299
0.42916666666666664,0.3,0.6256911088135639
0.42916666666666664,0.3025,0.6256685946891173
0.4375,0.3025,0.6252404474321491
0.4375,0.305,0.6251417294846201
0.44166666666666665,0.305,0.6247544086452971
0.44166666666666665,0.3075,0.624632616661747
0.45416666666666666,0.3075,0.6233660105357487
0.45416666666666666,0.3125,0.6230163146015653
0.4666666666666667,0.3125,0.622001424561454
0.4666666666666667,0.3175,0.6203590067399353
0.4708333333333333,0.3175,0.6200507158806728
0.4708333333333333,0.32,0.6199052323435988
0.4791666666666667,0.32,0.619288114021348
0.4791666666666667,0.325,0.61909312828284
0.48333333333333334,0.325,0.6190680203933069
0.48333333333333334,0.3275,0.6188843903854071
0.4875,0.3275,0.6186159432069177
0.4875,0.33,0.6186158049670923
0.49166666666666664,0.33,0.6183145946842431
0.49166666666666664,0.335,0.6171512782288349
0.49583333333333335,0.335,0.6161834923458236
0.49583333333333335,0.3375,0.6161519366429541
0.5,0.3375,0.6154834773692331
0.5,0.3425,0.6149897258988091
0.5083333333333333,0.3425,0.6147523263127485
0.5083333333333333,0.345,0.6138489412607547
0.5166666666666667,0.345,0.6124412268912812
0.5166666666666667,0.3475,0.6123668438678697
0.5208333333333334,0.3475,0.6122867325561065
0.5208333333333334,0.3575,0.6108469917387691
0.5291666666666667,0.3575,0.6107639205435306
0.5291666666666667,0.3625,0.6098754378925739
0.5458333333333333,0.3625,0.608777527413546
0.5458333333333333,0.3725,0.6059214283362063
0.55,0.3725,0.6044893860602117
0.55,0.375,0.6040001032536501
0.5625,0.375,0.6032544944542998
0.5625,0.38,0.6030115731370287
0.5666666666666667,0.38,0.6027182727468958
0.5666666666666667,0.3825,0.6023913592650069
0.5791666666666667,0.3825,0.601103311310109
0.5791666666666667,0.3925,0.5994735593307579
0.5833333333333334,0.3925,0.59898191768866
0.5833333333333334,0.395,0.5976316544352732
0.5875,0.395,0.5975065942406609
0.5875,0.4,0.5973023702413117
0.5958333333333333,0.4,0.5970106411465884
0.5958333333333333,0.4025,0.5967739985917936
0.6,0.4025,0.5967164542385648
0.6,0.4075,0.5961626970124554
0.6083333333333333,0.4075,0.5958663375033696
0.6083333333333333,0.41,0.5947842068729206
0.6125,0.41,0.594754585177478
