,feature_combinations,SEN,SPEC
129,"FLEN_score,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.26666666666666666,0.9761904761904762
130,"FLEN_score,ichorCNA,NMF_EM_2",0.48,0.9285714285714286
131,"FLEN_score,ichorCNA,NMF_FLEN_1",0.56,0.8809523809523809
132,"FLEN_score,ichorCNA,NMF_NUCLEOSOME_2",0.48,0.9523809523809523
133,"FLEN_score,NMF_EM_2,NMF_FLEN_1",0.38666666666666666,0.8809523809523809
134,"FLEN_score,NMF_EM_2,NMF_NUCLEOSOME_2",0.21333333333333335,0.9523809523809523
135,"FLEN_score,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.38666666666666666,0.9047619047619048
136,"NUCLEOSOME_score,EM_shannon,OT_EM",0.32,0.9285714285714286
137,"NUCLEOSOME_score,EM_shannon,OT_FLEN",0.29333333333333333,0.9285714285714286
138,"NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME",0.29333333333333333,0.9285714285714286
139,"NUCLEOSOME_score,EM_shannon,ichorCNA",0.48,0.9047619047619048
140,"NUCLEOSOME_score,EM_shannon,NMF_EM_2",0.29333333333333333,0.9047619047619048
141,"NUCLEOSOME_score,EM_shannon,NMF_FLEN_1",0.44,0.9047619047619048
142,"NUCLEOSOME_score,EM_shannon,NMF_NUCLEOSOME_2",0.29333333333333333,0.9285714285714286
143,"NUCLEOSOME_score,OT_EM,OT_FLEN",0.25333333333333335,0.9523809523809523
144,"NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME",0.25333333333333335,0.9523809523809523
145,"NUCLEOSOME_score,OT_EM,ichorCNA",0.48,0.9285714285714286
146,"NUCLEOSOME_score,OT_EM,NMF_EM_2",0.25333333333333335,0.9285714285714286
147,"NUCLEOSOME_score,OT_EM,NMF_FLEN_1",0.44,0.9047619047619048
148,"NUCLEOSOME_score,OT_EM,NMF_NUCLEOSOME_2",0.25333333333333335,0.9523809523809523
149,"NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME",0.21333333333333335,0.9523809523809523
150,"NUCLEOSOME_score,OT_FLEN,ichorCNA",0.4666666666666667,0.9285714285714286
151,"NUCLEOSOME_score,OT_FLEN,NMF_EM_2",0.21333333333333335,0.9285714285714286
152,"NUCLEOSOME_score,OT_FLEN,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
153,"NUCLEOSOME_score,OT_FLEN,NMF_NUCLEOSOME_2",0.21333333333333335,0.9523809523809523
154,"NUCLEOSOME_score,OT_NUCLEOSOME,ichorCNA",0.4666666666666667,0.9285714285714286
155,"NUCLEOSOME_score,OT_NUCLEOSOME,NMF_EM_2",0.21333333333333335,0.9285714285714286
156,"NUCLEOSOME_score,OT_NUCLEOSOME,NMF_FLEN_1",0.4266666666666667,0.9047619047619048
157,"NUCLEOSOME_score,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.21333333333333335,0.9523809523809523
158,"NUCLEOSOME_score,ichorCNA,NMF_EM_2",0.4666666666666667,0.9047619047619048
159,"NUCLEOSOME_score,ichorCNA,NMF_FLEN_1",0.5866666666666667,0.8809523809523809
160,"NUCLEOSOME_score,ichorCNA,NMF_NUCLEOSOME_2",0.4666666666666667,0.9285714285714286
161,"NUCLEOSOME_score,NMF_EM_2,NMF_FLEN_1",0.4266666666666667,0.8809523809523809
162,"NUCLEOSOME_score,NMF_EM_2,NMF_NUCLEOSOME_2",0.21333333333333335,0.9285714285714286
163,"NUCLEOSOME_score,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.4266666666666667,0.9047619047619048
164,"EM_shannon,OT_EM,OT_FLEN",0.29333333333333333,0.9523809523809523
165,"EM_shannon,OT_EM,OT_NUCLEOSOME",0.30666666666666664,0.9523809523809523
166,"EM_shannon,OT_EM,ichorCNA",0.4533333333333333,0.9285714285714286
167,"EM_shannon,OT_EM,NMF_EM_2",0.28,0.9285714285714286
168,"EM_shannon,OT_EM,NMF_FLEN_1",0.44,0.9047619047619048
169,"EM_shannon,OT_EM,NMF_NUCLEOSOME_2",0.28,0.9523809523809523
170,"EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.29333333333333333,0.9523809523809523
171,"EM_shannon,OT_FLEN,ichorCNA",0.4533333333333333,0.9285714285714286
172,"EM_shannon,OT_FLEN,NMF_EM_2",0.25333333333333335,0.9285714285714286
