,feature_combinations,SEN_Train,SPEC_Train,NMF_EM_1,NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA
673,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,EM_shannon,OT_NUCLEOSOME",0.33587786259541985,0.9176470588235294,1,0,1,0,1,0,1,0,0,1,0
674,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,EM_shannon,ichorCNA",0.5076335877862596,0.8941176470588236,1,0,1,0,1,0,1,0,0,0,1
675,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_EM,OT_FLEN",0.26717557251908397,0.9176470588235294,1,0,1,0,1,0,0,1,1,0,0
676,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_EM,OT_NUCLEOSOME",0.2748091603053435,0.9176470588235294,1,0,1,0,1,0,0,1,0,1,0
677,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_EM,ichorCNA",0.4847328244274809,0.8941176470588236,1,0,1,0,1,0,0,1,0,0,1
678,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_FLEN,OT_NUCLEOSOME",0.23282442748091603,0.9647058823529412,1,0,1,0,1,0,0,0,1,1,0
679,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_FLEN,ichorCNA",0.46946564885496184,0.9411764705882353,1,0,1,0,1,0,0,0,1,0,1
680,"NMF_EM_1,NMF_NUCLEOSOME_2,FLEN_score,OT_NUCLEOSOME,ichorCNA",0.48091603053435117,0.9411764705882353,1,0,1,0,1,0,0,0,0,1,1
681,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,EM_shannon,OT_EM",0.3702290076335878,0.9176470588235294,1,0,1,0,0,1,1,1,0,0,0
682,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,EM_shannon,OT_FLEN",0.3702290076335878,0.9176470588235294,1,0,1,0,0,1,1,0,1,0,0
683,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME",0.3702290076335878,0.9176470588235294,1,0,1,0,0,1,1,0,0,1,0
684,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,EM_shannon,ichorCNA",0.5381679389312977,0.8941176470588236,1,0,1,0,0,1,1,0,0,0,1
685,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_EM,OT_FLEN",0.3282442748091603,0.9176470588235294,1,0,1,0,0,1,0,1,1,0,0
686,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME",0.3282442748091603,0.9176470588235294,1,0,1,0,0,1,0,1,0,1,0
687,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_EM,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,1,0,0,1,0,1,0,0,1
688,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME",0.2900763358778626,0.9529411764705882,1,0,1,0,0,1,0,0,1,1,0
689,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_FLEN,ichorCNA",0.5,0.9176470588235294,1,0,1,0,0,1,0,0,1,0,1
